Slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)","ฝ่ายรับ
ผิดชอบ",กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
164,12:32,12:34,2,PLAN,"ตั้งแถว set2: ยูเอฟโอ, ยูไม่หลับ, ยูต่อ, ยูพี่น้อง, ยูคนเดียว","ห้องบ้าน set2
ยูเอฟโอ (405 ตึก100)
ยูไม่หลับ (402 ตึก100)
ยูต่อ (401+402 ตึก3)
ยูพี่น้อง (308+309 ตึก3)
ยูคนเดียว (418+419 ตึก3)",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูเอฟโอ - บุ๊ค 0983651450
ยูไม่หลับ - ติว 099-379-9090
ยูต่อ - พูม 0834272638
ยูพี่น้อง - ชา 0919984690
ยูคนเดียว - แบว 0988293707 ","-พี่แผนประจำบ้านให้น้องตั้งเเถวคู่หน้าห้องบ้าน
-เมื่อบ้านไหนตั้งแถวพร้อมเเล้วให้เเจ้งในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้านxx พร้อม” 
-หากเมื่อถึงเวลาแจ้งแล้วบ้านไหนยังไม่พร้อมให้แจ้งสาเหตุ เช่น “บ้านxx ไม่พร้อม น้องไปเข้าห้องน้ำ” "
165,12:32,12:32,-,PLAN,"แจ้ง MC ให้จบกิจกรรมบ้าน set3: ยูวี, ยูกับพี่, ยูในใจ, ยูว้อน","ห้องบ้าน set3
ยูวี (502 ตึก100)
ยูกับพี่ (501 ตึก100)
ยูในใจ (301+304 ตึก3)
ยูว้อน (415-6 ตึก3)",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูวี - ปาล์ม 0915205144
ยูกับพี่ - ตูน 0988311460
ยูในใจ - ฟลุ๊ค 0923315337
ยูว้อน - มิน 0946709494",- พี่แผนประจำบ้านแจ้ง MC ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมตั้งแถว
166,12:34,12:34,-,PLAN,line แจ้งให้เริ่มเดิน set2,ไลน์กลุ่ม แผนประจำบ้าน,ลูกพลับ 0948198008,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","-เมื่อถึงเวลาไลน์ให้แผนคุมโซนแจ้งในไลน์กลุ่ม แผนประจำบ้านว่า “บ้านยูไม่หลับ, ยูเอฟโอ, ยูต่อ, ยูพี่น้อง, ยูคนเดียว เริ่มเดิน”"
167,12:34,12:39,5,PLAN,"ไลน์จากห้องบ้านไปรับประทานอาหาร set2: ยูเอฟโอ, ยูไม่หลับ, ยูต่อ, ยูพี่น้อง, ยูคนเดียว","ห้องบ้าน → โต๊ะรับประทานอาหาร set2
ยูเอฟโอ (405 ตึก100) → ใต้ตึก 4
ยูไม่หลับ (402 ตึก100) → ใต้ตึก 100
ยูต่อ (401+402 ตึก3) → ลานเกียร์
ยูพี่น้อง (308+309 ตึก3) → ที่ราบสูง
ยูคนเดียว (418+419 ตึก3) → สวนรวมใจ",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูเอฟโอ - บุ๊ค 0983651450
ยูไม่หลับ - ติว 099-379-9090
ยูต่อ - พูม 0834272638
ยูพี่น้อง - ชา 0919984690
ยูคนเดียว - แบว 0988293707 ","วิธีการไลน์
-เมื่อถึงเวลาไลน์แถวให้พี่แผนประจำบ้านถือธงนำหัวเเถว 1 คน ปิดท้ายเเถว 1 คน และอีก 2 คนเดินกระจายดูแลน้อง
-เมื่อถึงเวลาไลน์ให้แผนคุมโซนแจ้งในไลน์กลุ่ม แผนประจำบ้านว่า “บ้านxx เริ่มเดิน” ให้พี่แผนประจำบ้านในโซนนั้น ๆ ลงมาตามลำดับเวลาและเส้นทางที่กำหนดได้เลย

เส้นทางการไลน์
ยูเอฟโอ (405 ตึก100) → ลิฟต์หลัก → บันไดหลังตึก 100 → ใต้ตึก 4 [set2]
ยูไม่หลับ (402 ตึก100) → ลิฟต์ขนของ → ใต้ตึก 100 [set2]
ยูต่อ (401+402 ตึก3) → บันไดกิจ → ลานเกียร์ [set2]
ยูพี่น้อง (308+309 ตึก3) → บันไดกลาง → ที่ราบสูง [set2]
ยูคนเดียว (418+419 ตึก3) → บันไดซีร็อกซ์ → สวนรวมใจ [set2]

วิธีการจัดที่นั่ง
-เมื่อมาถึงโต๊ะรับประทานอาหารแล้วจากนั้นให้พี่แผนประจำบ้านนับน้องเข้าโต๊ะตามจำนวนความจุของแต่ละโต๊ะ หรือตามจำนวนข้าวที่วางไว้บนโต๊ะ
โต๊ะ icanteen: โต๊ะละ 4 คน
โต๊ะลานชาไทย: โต๊ะละ 4 คน
โต๊ะลานเกียร์: โต๊ะละ 8 คน
โต๊ะที่ราบสูง: โต๊ะละ 6 คน
โต๊ะสวนรวมใจ: โต๊ะละ 5 คน
โต๊ะใต้ตึก 100: (โต๊ะที่มีอยู่แล้ว) โต๊ะละ 4 คน
โต๊ะใต้ตึก 100: (โต๊ะเสริมหน้าขาว) โต๊ะละ 6 คน
โต๊ะใต้ตึก 4: โต๊ะละ 4 คน"
168,12:34,12:36,2,PLAN,"ตั้งแถว set3: ยูวี, ยูกับพี่, ยูในใจ, ยูว้อน","ห้องบ้าน set3
ยูวี (502 ตึก100)
ยูกับพี่ (501 ตึก100)
ยูในใจ (301+304 ตึก3)
ยูว้อน (415-6 ตึก3)",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูวี - ปาล์ม 0915205144
ยูกับพี่ - ตูน 0988311460
ยูในใจ - ฟลุ๊ค 0923315337
ยูว้อน - มิน 0946709494","- พี่แผนประจำบ้านให้น้องตั้งเเถวคู่หน้าห้องบ้าน
- เมื่อบ้านไหนตั้งแถวพร้อมเเล้วให้เเจ้งในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้านxx พร้อม” 
- หากเมื่อถึงเวลาแจ้งแล้วบ้านไหนยังไม่พร้อมให้แจ้งสาเหตุ เช่น “บ้านxx ไม่พร้อม น้องไปเข้าห้องน้ำ” "
169,12:34,12:34,-,PLAN,แจ้ง MC ให้จบกิจกรรมบ้าน set4: ยูเทิร์น ยูไฟเยอร์,"ห้องบ้าน set4
ยูเทิร์น (504 ตึก100)
ยูไฟเยอร์ (505 ตึก100)",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูเทิร์น - ก๊วง 0971318887
ยูไฟเยอร์ - กัณฑ์ 0839804521",- พี่แผนประจำบ้านแจ้ง MC ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมตั้งแถว
170,12:36,12:36,-,PLAN,line แจ้งให้เริ่มเดิน set3,ไลน์กลุ่ม แผนประจำบ้าน,ลูกพลับ 0948198008,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","- เมื่อถึงเวลาไลน์ให้แผนคุมโซนแจ้งในไลน์กลุ่ม แผนประจำบ้านว่า “บ้านยูวี, ยูกับพี่, ยูในใจ, ยูว้อน เริ่มเดิน”"
171,12:36,12:41,5,PLAN,"ไลน์จากห้องบ้านไปรับประทานอาหาร set3: ยูวี, ยูกับพี่, ยูในใจ, ยูว้อน","ห้องบ้าน → โต๊ะรับประทานอาหาร set3
ยูวี (502 ตึก100) → ลานเกียร์
ยูกับพี่ (501 ตึก100) → ลานเกียร์
ยูในใจ (301+304 ตึก3) → ที่ราบสูง
ยูว้อน (415-6 ตึก3) → icanteen ชั้น 1",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูวี - ปาล์ม 0915205144
ยูกับพี่ - ตูน 0988311460
ยูในใจ - ฟลุ๊ค 0923315337
ยูว้อน - มิน 0946709494","วิธีการไลน์
-เมื่อถึงเวลาไลน์แถวให้พี่แผนประจำบ้านถือธงนำหัวเเถว 1 คน ปิดท้ายเเถว 1 คน และอีก 2 คนเดินกระจายดูแลน้อง
-เมื่อถึงเวลาไลน์ให้แผนคุมโซนแจ้งในไลน์กลุ่ม แผนประจำบ้านว่า “บ้านxx เริ่มเดิน” ให้พี่แผนประจำบ้านในโซนนั้น ๆ ลงมาตามลำดับเวลาและเส้นทางที่กำหนดได้เลย

เส้นทางการไลน์
ยูวี (502 ตึก100) → ลิฟต์ขนของ → บันได100เกียร์ → ลานเกียร์ [set3]
ยูกับพี่ (501 ตึก100) → ลิฟต์หลัก → บันได100เกียร์ → ลานเกียร์ [set3]
ยูในใจ (301+304 ตึก3) → บันไดกิจ → ที่ราบสูง [set3]
ยูว้อน (415-6 ตึก3) → บันไดซีร็อกซ์ → บันไดเกียร์ขาว → ลานเกียร์ → icanteen ชั้น 1 [set3]

วิธีการจัดที่นั่ง
-เมื่อมาถึงโต๊ะรับประทานอาหารแล้วจากนั้นให้พี่แผนประจำบ้านนับน้องเข้าโต๊ะตามจำนวนความจุของแต่ละโต๊ะ หรือตามจำนวนข้าวที่วางไว้บนโต๊ะ
โต๊ะ icanteen: โต๊ะละ 4 คน
โต๊ะลานชาไทย: โต๊ะละ 4 คน
โต๊ะลานเกียร์: โต๊ะละ 8 คน
โต๊ะที่ราบสูง: โต๊ะละ 6 คน
โต๊ะสวนรวมใจ: โต๊ะละ 5 คน
โต๊ะใต้ตึก 100: (โต๊ะที่มีอยู่แล้ว) โต๊ะละ 4 คน
โต๊ะใต้ตึก 100: (โต๊ะเสริมหน้าขาว) โต๊ะละ 6 คน
โต๊ะใต้ตึก 4: โต๊ะละ 4 คน"
172,12:36,12:38,2,PLAN,ตั้งแถว set4: ยูเทิร์น ยูไฟเยอร์,"ห้องบ้าน set4
ยูเทิร์น (504 ตึก100)
ยูไฟเยอร์ (505 ตึก100)",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูเทิร์น - ก๊วง 0971318887
ยูไฟเยอร์ - กัณฑ์ 0839804521","- พี่แผนประจำบ้านให้น้องตั้งเเถวคู่หน้าห้องบ้าน
- เมื่อบ้านไหนตั้งแถวพร้อมเเล้วให้เเจ้งในไลน์กลุ่ม แผนประจำบ้าน ว่า “บ้านxx พร้อม” 
- หากเมื่อถึงเวลาแจ้งแล้วบ้านไหนยังไม่พร้อมให้แจ้งสาเหตุ เช่น “บ้านxx ไม่พร้อม น้องไปเข้าห้องน้ำ” "
173,12:38,12:38,-,PLAN,line แจ้งให้เริ่มเดิน set4,ไลน์กลุ่ม แผนประจำบ้าน,ลูกพลับ 0948198008,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891",- เมื่อถึงเวลาไลน์ให้แผนคุมโซนแจ้งในไลน์กลุ่ม แผนประจำบ้านว่า “บ้านยูเทิร์น ยูไฟเยอร์ เริ่มเดิน”
174,12:38,12:43,5,PLAN,ไลน์จากห้องบ้านไปรับประทานอาหาร set4: ยูเทิร์น ยูไฟเยอร์,"ห้องบ้าน → โต๊ะรับประทานอาหาร set4
ยูเทิร์น (504 ตึก100) → ใต้ตึก 100
ยูไฟเยอร์ (505 ตึก100) → ใต้ตึก 100",ลูกพลับ 0948198008,"แผนประจำบ้าน
ยูเทิร์น - ก๊วง 0971318887
ยูไฟเยอร์ - กัณฑ์ 0839804521","วิธีการไลน์
-เมื่อถึงเวลาไลน์แถวให้พี่แผนประจำบ้านถือธงนำหัวเเถว 1 คน ปิดท้ายเเถว 1 คน และอีก 2 คนเดินกระจายดูแลน้อง
-เมื่อถึงเวลาไลน์ให้แผนคุมโซนแจ้งในไลน์กลุ่ม แผนประจำบ้านว่า “บ้านxx เริ่มเดิน” ให้พี่แผนประจำบ้านในโซนนั้น ๆ ลงมาตามลำดับเวลาและเส้นทางที่กำหนดได้เลย

เส้นทางการไลน์
ยูเทิร์น (504 ตึก100) → ลิฟต์ขนของ → ใต้ตึก 100 [set4]
ยูไฟเยอร์ (505 ตึก100) → ลิฟต์หลัก → ใต้ตึก 100 [set4]

วิธีการจัดที่นั่ง
-เมื่อมาถึงโต๊ะรับประทานอาหารแล้วจากนั้นให้พี่แผนประจำบ้านนับน้องเข้าโต๊ะตามจำนวนความจุของแต่ละโต๊ะ หรือตามจำนวนข้าวที่วางไว้บนโต๊ะ
โต๊ะ icanteen: โต๊ะละ 4 คน
โต๊ะลานชาไทย: โต๊ะละ 4 คน
โต๊ะลานเกียร์: โต๊ะละ 8 คน
โต๊ะที่ราบสูง: โต๊ะละ 6 คน
โต๊ะสวนรวมใจ: โต๊ะละ 5 คน
โต๊ะใต้ตึก 100: (โต๊ะที่มีอยู่แล้ว) โต๊ะละ 4 คน
โต๊ะใต้ตึก 100: (โต๊ะเสริมหน้าขาว) โต๊ะละ 6 คน
โต๊ะใต้ตึก 4: โต๊ะละ 4 คน"
175,12:45,12:45,-,PLAN,น้องทุกคนประจำโต๊ะรับประทานอาหาร,โต๊ะรับประทานอาหาร,ลูกพลับ 0948198008,แผนประจำบ้านทุกบ้าน,- น้องทุกบ้านถึงโต๊ะรับประทานอาหารของตนเอง เตรียมพร้อมรับประทานอาหาร
176,12:45,13:15,30,PLAN,รับประทานอาหารกลางวัน,โต๊ะรับประทานอาหาร,เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 085663889",-น้องรับประทานอาหารกลางวัน
177,12:45,13:15,30,PLAN,พาเข้าห้องน้ำช่วงรับประทานอาหาร,"โต๊ะรับประทานอาหาร
ห้องน้ำ",เอิน 0993438222,แผนประจำบ้านทุกบ้าน,"-พี่แผนประจำบ้านแจ้งน้องว่าน้องสามารถเข้าห้องน้ำได้ที่จุดไหน โดยตำแหน่งห้องน้ำจะเป็นไปตามที่แผนกลางกำหนด และ แจ้งน้องว่าบริเวณนั้นมีสถานที่อะไรบ้างสามารถเดินไปได้ถึงไหน
-น้องสามารถเดินไปเข้าห้องน้ำหรือว่าซื้อของเองได้ตามอิสระ เพียงแต่ต้องบอกแผนประจำบ้านก่อน แต่แผนประจำบ้านไม่จำเป็นต้องพาน้องไป
-หากน้องไม่รู้ทางที่จะไปให้พี่แผนประจำบ้านหรือพี่บ้านที่รู้ทางพาน้องไป
-พี่แผนประจำบ้านย้ำน้องว่าเมื่อออกไปเดินเล่นเเล้วจะต้องกลับมาภายในเวลา 13.15 น."
178,12:45,13:15,30,PLAN,ดูแลน้องช่วงรับประทานอาหาร,โต๊ะรับประทานอาหาร,เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891",-พี่แผนคุมโซนดูความเรียบร้อยไม่ให้น้องเดินไปไกลเกิน
179,12:45,13:30,45,COOR,ดูแลน้องทานข้าว,"i-canteen ชั้น 1 (ยูไม่ตอบ, ยูว้อน)
i-canteen ชั้น 2 (ยูนิคอร์น)
ใต้ตึก 100 (ยูเทิร์น, ยูไฟเยอร์, ยูไม่หลับ)
ใต้ตึก 4 (ยูเอฟโอ, ยูโร่, ยูบายพาร์ท)
ลานเกียร์ (ยูวี, ยูกับพี่, ยูร้องโฮ่ง, ยูต่อ)
ลานชาไทย (ยูเชื่อบ่)
ที่ราบสูง (ยูพี่น้อง, ยูในใจ)
สวนรวมใจ (ยูเลิฟ, ยูคนเดียว)",ฟ้า 0816443327,"ยูเทิร์น - ซีดี 0909769236
ยูไฟเยอร์ - เต้ 0920921853
ยูเลิฟ - ฟ้า 0816443327
ยูกับพี่ - ปิงปอง 0989838988
ยูวี - อุ๊ง 0897924157
ยูว้อน - พอร์ช 0625901145
ยูพี่น้อง - บ๊อบบี้ 0969549900
ยูเชื่อบ่ - พุทธ 0634164067
ยูไม่หลับ - เชียร์ 0839986709
ยูต่อ - พุทธ 0634164067
ยูบายพาร์ท - ปุ๋ย 0968635225
ยูไม่ตอบ - โฟกัส 0956971900
ยูโร่ - โอ๊ต 0904041246
ยูนิคอร์น - ริกะ 0971310792
ยูคนเดียว - พอร์ช 0625901145
ยูเอฟโอ - เบว 0649745945
ยูร้องโฮ่ง - วา 0934427820
ยูในใจ - ฟ้า 0816443327","
- พี่บ้านช่วยแผนและสวัสดิบ้านดูแลน้องตอนกินข้าว
- น้องกินเสร็จอยากให้พี่มาเล่นกับน้อง entertain น้องรอ
- น้องสามารถเดินเล่นได้ไม่ต้องมีพี่ไปด้วย แต่ว่าอย่าออกนอกเขตค่าย"
180,12:45,13:30,45,WELFARE,ปล่อยให้เพื่อน ๆ อัธยาศัย เดินดูแลน้อง ๆ ได้,-,ไนท์ 0858292877,ไนท์ 0858292877,
181,12:45,13:30,45,WELFARE,สวัสดิบ้านดูแลจัดการเรื่องขยะและเก็บพื้นที่ให้เรียบร้อย,โต๊ะรับประทานอาหาร,ไนท์ 0858292877,,
182,13:00,13:30,43200,CONTENT,เตรียมหอประชุมสำหรับกิจกรรม,หอประชุมตึก 3,กุ๋งกิ๋ง 081-808-3050,"mc พิธีการ
อู๋ 082-025-1205
ออม 099-592-4515
พูม 083-427-2638
บ๊อด 081-657-6587
ส้ม 081-456-4900","-นัดรวมสตาฟที่เกี่ยวข้อง
-เตรียมความพร้อมหอประชุม
-stand by รอน้อง"
183,13:00,13:30,30,CONTENT,เตรียมหอประชุมสำหรับกิจกรรม,หอประชุมตึก 4,เมี่ยว 090-971-7975,"mc พิธีการ
โอม 095-621-3769
มังกร 091-851-5467
นัท 084-901-2874
หมิง 093-145-9591
นุ่น 098-906-9969","-นัดรวมสตาฟที่เกี่ยวข้อง
-เตรียมความพร้อมหอประชุม
-stand by รอน้อง"
184,13:15,13:25,10,PLAN,ต้อนน้องให้กลับโต๊ะรับประทานอาหาร,"ลานเกียร์และที่ราบสูง - ห้องน้ำตึกอรุณ
ลานเกียร์และที่ราบสูง - ห้องน้ำ ตึก 3 ชั้น 1
ลานเกียร์และที่ราบสูง - ห้องน้ำ ตึก 3 ชั้น 2
icanteen และลานชาไทย - icanteen
icanteen และลานชาไทย - icanteen
icanteen และลานชาไทย - Parabola
สวนรวมใจ - ห้องน้ำตึก 1
สวนรวมใจ - ห้องน้ำทรู, Amazon
ใต้ตึก 100 - ห้องน้ำ ตึก 100 ชั้น M 
ใต้ตึก 4 - ห้องน้ำ ตึก 4
ใต้ตึก 4 - Intanin",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","- พี่แผนคุมโซนต้อนน้องตามสถานที่ต่าง ๆ ให้กลับไปที่โต๊ะบ้านของตนเอง

ลานเกียร์และที่ราบสูง - ห้องน้ำตึกอรุณ
ลานเกียร์และที่ราบสูง - ห้องน้ำ ตึก 3 ชั้น 1
ลานเกียร์และที่ราบสูง - ห้องน้ำ ตึก 3 ชั้น 2
icanteen และลานชาไทย - icanteen
icanteen และลานชาไทย - icanteen
icanteen และลานชาไทย - Parabola
สวนรวมใจ - ห้องน้ำตึก 1
สวนรวมใจ - ห้องน้ำทรู, Amazon
ใต้ตึก 100 - ห้องน้ำ ตึก 100 ชั้น M 
ใต้ตึก 4 - ห้องน้ำ ตึก 4
ใต้ตึก 4 - Intanin"
185,13:15,13:30,15,PLAN,เช็กหอประชุมตึก 3,หอประชุมตึก 3,น้ำพั้นซ์ 0924988979,น้ำพั้นซ์ 0924988979,"-เช็กหอประชุมว่าจัดเก้าอี้ตรงตามแผนผังหรือไม่
-เปิดประตูหอประชุม
-ผู้ตัดสินใจสูงสุดเข้าไปเช็กความเรียบร้อยสถานที่และผต.ในหอประชุม ถ้าหากหอประชุมพร้อมรับน้องแล้วให้แจ้งผ่านไลน์กลุ่ม แผนกลาง ว่า “หอประชุมxx พร้อม”"
186,13:15,13:30,15,PLAN,เช็กหอประชุมตึก 4,หอประชุมตึก 4,คนิ้ง 0858101505,คนิ้ง 0858101505,"-เช็กหอประชุมว่าจัดเก้าอี้ตรงตามแผนผังหรือไม่
-เปิดประตูหอประชุม
-ผู้ตัดสินใจสูงสุดเข้าไปเช็กความเรียบร้อยสถานที่และผต.ในหอประชุม ถ้าหากหอประชุมพร้อมรับน้องแล้วให้แจ้งผ่านไลน์กลุ่ม แผนกลาง ว่า “หอประชุมxx พร้อม”"
187,13:20,13:20,-,COOR,ตามสล็อตยาม,"บ้าน N ยูโร่ - จุด C
บ้าน P ยูนิคอร์น - จุด R
บ้าน S ยูร้องโฮ่ง - จุด Z",ฟ้า 0816443327,"ยูโร่ โอ๊ต 0904041246
ยูนิคอร์น ริกะ 0971310792
ยูร้องโฮ่ง วา 0934427820","- ตามยามให้ไปที่ห้อง toshiba ชั้น 1 ตึก 3 ก่อนไปประจำจุด
- ยามประจำจุดเวลา 13.30-15.30"
188,13:25,13:35,10,PLAN,น้องทุกคนประจำที่โต๊ะรับประทานอาหาร,โต๊ะรับประทานอาหาร,เอิน 0993438222,แผนประจำบ้านทุกบ้าน,"-น้องทุกคนประจำโต๊ะบ้านของตนเอง 
-พี่แผนประจำบ้านประสานกับทะเบียนบ้านให้นับจำนวนน้องว่ากลับมาครบหรือยัง"
189,13:25,13:30,5,PLAN,เช็กโซนครั้งสุดท้าย,"ลานเกียร์ และ ที่ราบสูง - ห้องน้ำตึก 3 ชั้น 1, 2
icanteenชั้น 1 และ ลานชาไทย - ห้องน้ำอรุณ
สวนรวมใจ - ห้องน้ำทรู
ใต้ตึก 4 - ห้องน้ำตึก 4
ใต้ตึก 100 - ห้องน้ำตึก 100",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891","-พี่แผนคุมโซนเช็กโซนของตนเองว่าไม่มีน้องอยู่ในโซนของตนเองแล้ว ถ้ามีน้องเหลืออยู่ให้พี่แผนคุมโซนพาน้องกลับมาที่โต๊ะรับประทานอาหาร
-เมื่อพี่แผนคุมโซนตรวจสอบเรียบร้อยแล้ว และไม่พบน้องหลงเหลืออยู่ให้ไลน์แจ้งในกลุ่ม แผนกลาง ว่า “โซนxx เคลียร์”
-ถ้าไม่เรียบร้อยให้แจ้งสถานการณ์ลงในไลน์กลุ่ม แผนกลาง เช่น “โซน xx มีน้องxx”"
190,13:27,13:27,-,PLAN,stand by doorman,"หอประชุมตึก 3 ประตูฝั่งป้ายคณะ
หอประชุมตึก 3 ประตูฝั่งตึก 2
หอประชุมตึก 3 ชั้น 2 ",น้ำพั้นซ์ 0924988979,"Doorman
หอประชุมตึก 3 ประตูฝั่งป้ายคณะ - กัน 097-451-4159
หอประชุมตึก 3 ประตูฝั่งตึก 2 - ไจ๋ 095-804-4441 
หอประชุมตึก 3 ชั้น 2 - ออง 096-838-8878",-doorman ประจำตำแหน่งที่กำหนด
191,13:27,13:27,-,PLAN,stand by doorman,หอประชุมตึก 4,คนิ้ง 0858101505,"Doorman
หอประชุมตึก 4 - โอ๊ค 090-215-6600 ",-doorman ประจำตำแหน่งที่กำหนด
192,13:30,13:30,-,PLAN,ปิดโซน,"ลานเกียร์และที่ราบสูง - ห้องน้ำตึกอรุณ
ลานเกียร์และที่ราบสูง - ห้องน้ำ ตึก 3 ชั้น 1
ลานเกียร์และที่ราบสูง - ห้องน้ำ ตึก 3 ชั้น 2
icanteen และลานชาไทย - icanteen
icanteen และลานชาไทย - icanteen
icanteen และลานชาไทย - Parabola
สวนรวมใจ - ห้องน้ำตึก 1
สวนรวมใจ - ห้องน้ำทรู, Amazon
ใต้ตึก 100 - ห้องน้ำ ตึก 100 ชั้น M 
ใต้ตึก 4 - ห้องน้ำ ตึก 4
ใต้ตึก 4 - Intanin",เอิน 0993438222,"พี่คุมโซน
ลานเกียร์และที่ราบสูง - เติ้ล 0897991699
ลานเกียร์และที่ราบสูง - ออง 0968388878
ลานเกียร์และที่ราบสูง - กัน 0974514159
icanteen และลานชาไทย - ฟ้า 0930055788
icanteen และลานชาไทย - น้ำพั้นซ์ 0924988979
icanteen และลานชาไทย - โอ๊ค 0902156600
สวนรวมใจ - มีน 0802947701
สวนรวมใจ - คนิ้ง 0858101505
ใต้ตึก 100 - เอ็กซ์แอล 0934239213
ใต้ตึก 4 - บูม 0982898377
ใต้ตึก 4 - เฟิร์ส 0856638891",- พี่แผนคุมโซนปิดห้องน้ำ ไม่อนุญาติให้น้องเข้าห้องน้ำในช่วงเวลารับประทานอาหารแล้ว
