slot,"เวลา
เริ่มต้น","เวลา
สิ้นสุด","ระยะเวลา
(นาที)",ฝ่ายรับผิดชอบ,กิจกรรม,สถานที่,ผู้ตัดสินใจสูงสุด,ผู้รับผิดชอบ ,รายละเอียด
127,11:26,11:30,4,PLAN,"บ้านไอคัท, บ้านไอรอเธอ, บ้านไอจาม, บ้านไอน์สไตน
ไลน์แถวจากห้องน้ำ กลับห้องบ้าน","ห้องน้ำชั้น1,3,4,
ห้องน้ำหญิงเหล็ก, ห้องน้ำชายเหล็ก",พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","ห้องน้ำชั้น 3          → บันไดกลาง →บ้านไอคัท ชั้น 2
ห้องน้ำชั้น 1          → บันไดกิจ    → บ้านไอรอเธอ ชั้น 2
ห้องน้ำชั้น 4          → บันไดกลาง → บ้านไอจาม ชั้น 3
ห้องน้ำหญิงเหล็ก                        → บ้านไอน์สไตน์ ชั้น 3
ห้องน้ำชายเหล็ก   → บันไดเหล็ก → บ้านไอน์สไตน์ ชั้น 3
- เมื่อกลับมาถึงห้องบ้านแล้วให้พี่บ้านฝ่ายแผนแจ้งพี่ห้องน้ำใน lineแผนแจ้งข่าว โดยใช้ฟอร์ม  “บ้านไอคัท น้อง ช x คน ญ y คน กลับมาถึงห้องบ้านแล้ว”"
128,11:30,11:30,-,PLAN,เช็กว่าข้าวเที่ยงน้องพร้อมรึยัง,ที่ราบสูง,นอร์ท 0951461000,"นอร์ท 0951461000
พี่โบอิ้ง 0958948965 รุ่น 100 (สวัสดิ)","คอนเฟิร์มกับสวัสดิ (พี่โบอิ้ง) ว่าสามารถตั้งข้าวได้ตอน 12.00 ได้เลยไหม
- พร้อม = ไลน์น้องปกติ
- ไม่พร้อม = ขึ้นอยู่กับดุลพินิจว่าจะยืดเวลากิจบ้านออกไปกี่นาที แต่จะยังจบกิจกรรมรับประทานอาหาร 12.xx เท่าเดิม"
129,11:30,11:31,1,PLAN,"พี่บ้านไอค๊อกแค๊ก, พี่บ้านไอแฟนยู, พี่บ้านไอเพื่อน, พี่บ้านไอแดง 
เรียกรวมตัวน้องที่จะไปห้องน้ำ ","บ้านไอค๊อกแค๊ก
บ้านไอแฟนยู
บ้านไอเพื่อน
บ้านไอแดง",พั้นซ์ 0924988979,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- พี่บ้านชาย 2 หญิง 2 (เป็นพี่บ้านฝ่ายแผนก็ได้) ในแต่ละบ้านเรียกรวมตัวน้องที่อยากไปห้องน้ำแยกชายหญิง
- น้องLGBTQ+ → พี่ที่พาเข้าจะขึ้นอยู่กับเพศสภาพของน้อง
- พี่บ้านฝ่ายแผนแจ้งพี่ห้องน้ำใน lineแผนแจ้งข่าว ว่ามีน้องกี่คนไปเข้าห้องน้ำโดยใช้ฟอร์ม “บ้านไอคัท น้อง ช x คน ญ y คน ไปเข้าห้องน้ำ” 
- ตั้งแถวเดี่ยว พี่ผู้ชาย←น้องผู้ชาย←พี่ผู้ชาย←พี่ผู้หญิง←น้องผู้หญิง←พี่ผู้หญิง"
130,11:30,11:40,10,PLAN,บรีฟแผนและพี่บ้าน ไลน์น้องจากห้องบ้านไปกินข้าว,หน้าห้องธรรม,นอร์ท 0951461000,นอร์ท 0951461000,บรีฟระบบไลน์น้องจากห้องบ้านไปกินข้าว
131,11:30,13:30,120,REG,"ทะเบียนกลาง set 2 ประจำที่
โต๊ะทะเบียนกลาง",หน้าห้อง 116/3,แองจี้ 0635914155,"โอเว่น 0918813478
แมทธิว 0896818877","น้องที่มาหลัง 10 โมง ทะเบียนกลาง
จะประสานทะเบียนบ้านให้มารับไป
ส่งตามที่ต่าง ๆ"
132,11:31,11:34,3,PLAN,"บ้านไอค๊อกแค๊ก, บ้านไอแฟนยู, บ้านไอเพื่อน, บ้านไอแดง
ไลน์แถวไปห้องน้ำ","ห้องน้ำชั้น1,3,4,
ห้องน้ำหญิงเหล็ก, ห้องน้ำชายเหล็ก",พั้นซ์ 0924988979,"
บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","บ้านไอค๊อกแค๊ก ชั้น 2      →บันไดกลาง  → ห้องน้ำชั้น 1 
บ้านไอแฟนยู ชั้น 3          →บันไดกิจ      → ห้องน้ำชั้น 4
บ้านไอเพื่อน ชั้น 3                                 → ห้องน้ำชั้น 3
บ้านไอแดง ชั้น 3 ผู้หญิง                         →ห้องน้ำหญิงเหล็ก
บ้านไอแดง ชั้น 3 ผู้ชาย   →บันไดเหล็ก   → ห้องน้ำชายเหล็ก
- ในกรณีที่มีน้องบางคนต้องการไปเข้าห้องน้ำหลังจากที่พี่บ้านพาน้องคนอื่นไปเข้าห้องน้ำแล้ว ให้น้องคนนั้นรอเข้าห้องน้ำรอบเก็บตก"
133,11:34,11:41,7,PLAN,"บ้านไอค๊อกแค๊ก, บ้านไอแฟนยู, บ้านไอเพื่อน, บ้านไอแดง
เข้าห้องน้ำ","ห้องน้ำชั้น1,3,4,
ห้องน้ำหญิงเหล็ก, ห้องน้ำชายเหล็ก",พั้นซ์ 0924988979,"
บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- ให้น้องต่อแถวรอเข้าห้องน้ำด้านนอกแล้วทยอยเข้าไปครั้งละ 3 คน โดยให้พี่บ้านเป็นคนคุม
- เข้าเสร็จก็ออกมายืนแถวรอเพื่อน เมื่อน้องเข้าจนครบก็ให้พี่บ้านพากลับเข้าห้องบ้าน
- เน้นย้ำ : พี่บ้านต้องพาน้องทุกคนกลับห้องบ้านพร้อมกัน ห้ามปล่อยน้องกลับเอง"
134,11:41,11:45,4,PLAN,"บ้านไอค๊อกแค๊ก, บ้านไอแฟนยู, บ้านไอเพื่อน, บ้านไอแดง
ไลน์แถวจากห้องน้ำ กลับบ้าน","ห้องน้ำชั้น1,3,4,
ห้องน้ำหญิงเหล็ก, ห้องน้ำชายเหล็ก",พั้นซ์ 0924988979,"
บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","ห้องน้ำชั้น 1           →บันไดกลาง   → บ้านไอค๊อกแค๊ก ชั้น 2
ห้องน้ำชั้น 4           →บันไดกิจ       → บ้านไอแฟนยู ชั้น 3
ห้องน้ำชั้น 3                                  → บ้านไอเพื่อน ชั้น 3
ห้องน้ำหญิงเหล็ก                           → บ้านไอแดง ชั้น 3
ห้องน้ำชายเหล็ก    →บันไดเหล็ก   → บ้านไอแดงชั้น 3
- เมื่อกลับมาถึงห้องบ้านแล้วให้พี่บ้านฝ่ายแผนแจ้งพี่ห้องน้ำใน lineแผนแจ้งข่าว โดยใช้ฟอร์ม  “บ้านไอคัท น้อง ช x คน ญ y คน กลับมาถึงห้องบ้านแล้ว”"
135,11:43,11:43,-,PLAN,แจ้ง MC บ้านไอคัท และบ้านไอเพื่อน สิ้นสุดกิจกรรมบ้าน,"บ้านไอคัท, บ้านไอเพื่อน",นอร์ท 0951461000,"
บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
","-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอคัท ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง
-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอเพื่อน ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง"
136,11:44,11:44,-,PLAN,แจ้ง MC บ้านไอค๊อกแค๊ก และบ้านไอแดง สิ้นสุดกิจกรรมบ้าน,"บ้านไอค๊อกแค๊ก, บ้านไอแดง",นอร์ท 0951461000,"
บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
","-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอค๊อกแค๊ก ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง
-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอแดง ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง"
137,11:45,11:45,-,PLAN,แจ้ง MC บ้านไอรอเธอ และบ้านไอน์สไตน์ สิ้นสุดกิจกรรมบ้าน,"บ้านไอน์สไตน์, บ้านไอรอเธอ",นอร์ท 0951461000,"
บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
","-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอน์สไตน์ ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง
-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอรอเธอ ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง"
138,11:45,11:45,-,PLAN,แจ้งพี่บ้านฝ่ายแผนว่าโต๊ะเรียบร้อย,"icanteen, ที่ราบสูงลานเกียร์",นอร์ท 0951461000,"เติ้ล (icanteen)       0897991699
ปาล์ม  (icanteen)  0915205144
กัน (ที่ราบสูง)          0974514159","- ไลน์แจ้งในกลุ่มพี่บ้านฝ่ายแผนว่า
 ""โต๊ะกินข้าว icanteen ชั้น1 พร้อม""
 ""โต๊ะกินข้าว icanteen ชั้น2 พร้อม""
 ""โต๊ะกินข้าว ที่ราบสูง พร้อม"""
139,11:45,11:50,5,PLAN,น้องบ้านไอคัท และบ้านไอเพื่อนตั้งแถวหน้าบ้าน,"บ้านไอคัท, บ้านไอเพื่อน",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- พี่ฝ่ายแผนบ้านไอคัทเรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอคัทหันหน้าไปทางบันไดกลาง
- พี่ฝ่ายแผนบ้านไอเพื่อนเรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอเพื่อนหันหน้าไปทางบันไดซีรอกซ์
- เมื่อบ้านไหนพร้อมแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนในฟอร์ม “บ้านไอคัท พร้อม""
การตั้งแถว
- น้องตั้งแถวคู่ชายหญิง
- พี่ฝ่ายแผน 1 คนยืนหัวแถว
- พี่บ้านอีก 1 คนยืนท้ายแถว
- หันหัวแถวไปทางบันไดที่จะลง"
140,11:45,12:00,15,SUPPLY,แจกอาหารสำหรับแต่ละบ้าน,ลานเกียร์/Icanteen,โบอิ้ง 0958948965,สวัสบ้านทุกบ้าน,"สวัสบ้านแต่ละบ้านแล้วเอาไปวางไว้แต่ละโต๊ะตามตำแหน่งที่น้องจะนั่ง ถ้ามีน้องเป็นอิสลาม
ให้สวัสดิบ้านดูแลเปลี่ยนข้าวให้ด้วย "
141,11:45,12:45,60,PLAN,เช็กห้องน้ำช่วงข้าวกลางวัน,"ห้องน้ำตึกอรุณ
ห้องน้ำชั้น1 ตึก 3
ห้องน้ำชั้น2 ตึก 3 (สำรอง)
ห้องน้ำตึก 100ปี (สำรอง)",วา 0934427820,"เทน             0851097076
หมูแฮม        0621088519
(สำรอง) อ๋อง  0915553919
(สำรอง)ปิงปิง 0851119544","- เช็กว่าห้องน้ำเปิดไหม
- ห้องน้ำใช้งานได้ไหม ถ้าห้องน้ำใช้การไม่ได้ให้แจ้งในดิสคอร์ดฝ่ายแผนเพื่อใช้ห้องน้ำสำรอง
- เปิดไฟให้หร้อมใช้งาน
- เมื่อตรวจสอบเสร็จแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนว่า ""ตรวจสอบห้องน้ำตึก x เรียบร้อย""
- เมื่อตรวจสอบเสร็จแล้วให้ไปประจำหน้าห้องน้ำของตน
*กรณีที่ห้องน้ำแออัด*
- ให้พี่ห้องน้ำสำรองทั้ง 2 คนไปประจำที่ห้องน้ำสำรองทั้ง 2 ห้อง"
142,11:46,11:46,-,PLAN,แจ้ง MC บ้านไอแฟนยู และบ้านไอจาม สิ้นสุดกิจกรรมบ้าน,"บ้านไอแฟนยู, บ้านไอจาม",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163","-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอแฟนยู ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง
-Timer ฝ่ายแผนแจ้ง MC พี่บ้านไอจาม ว่า หมดเวลากิจกรรม อีก 2 นาทีเตรียมไลน์น้อง"
143,11:46,11:51,5,PLAN,น้องบ้านไอค๊อกแค๊ก และบ้านไอแดงตั้งแถวหน้าบ้าน,"บ้านไอค๊อกแค๊ก, บ้านไอแดง",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- พี่ฝ่ายแผนบ้านไอค๊อกแค๊กเรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอค๊อกแค๊กหันหน้าไปทางบันไดกลาง
- พี่ฝ่ายแผนบ้านไอแดงเรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอแดงหันหน้าไปทางบันไดซีรอกซ์
- เมื่อบ้านไหนพร้อมแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนในฟอร์ม “บ้านไอค๊อกแค๊ก พร้อม""
การตั้งแถว
- น้องตั้งแถวคู่ชายหญิง
- พี่ฝ่ายแผน 1 คนยืนหัวแถว
- พี่บ้านอีก 1 คนยืนท้ายแถว
- หันหัวแถวไปทางบันไดที่จะลง"
144,11:47,11:52,5,PLAN,น้องบ้านไอรอเธอ และบ้านไอน์สไตน์ตั้งแถวหน้าบ้าน,"บ้านไอรอเธอ , บ้านไอน์สไตน์",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- พี่ฝ่ายแผนบ้านไอรอเธอเรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอรอเธอหันหน้าไปทางบันไดกลาง
- พี่ฝ่ายแผนบ้านไอน์สไตน์เรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอน์สไตน์หันหน้าไปทางบันไดซีรอกซ์
- เมื่อบ้านไหนพร้อมแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนในฟอร์ม “บ้านไอรอเธอ พร้อม""
การตั้งแถว
- น้องตั้งแถวคู่ชายหญิง
- พี่ฝ่ายแผน 1 คนยืนหัวแถว
- พี่บ้านอีก 1 คนยืนท้ายแถว
- หันหัวแถวไปทางบันไดที่จะลง"
145,11:48,11:53,5,PLAN,น้องบ้านไอแฟนยู และบ้านไอจามตั้งแถวหน้าบ้าน,"บ้านไอแฟนยู, บ้านไอจาม",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- พี่ฝ่ายแผนบ้านไอแฟนยูเรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอแฟนยูหันหน้าไปทางบันไดกิจ
- พี่ฝ่ายแผนบ้านไอจามเรียกน้องๆที่อยู่ในบ้านตั้งแถวหน้าบ้าน 
- น้องบ้านไอจามหันหน้าไปทางบันไดกิจ
- เมื่อบ้านไหนพร้อมแล้วให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนในฟอร์ม “บ้านไอแฟนยู พร้อม""
การตั้งแถว
- น้องตั้งแถวคู่ชายหญิง
- พี่ฝ่ายแผน 1 คนยืนหัวแถว
- พี่บ้านอีก 1 คนยืนท้ายแถว
- หันหัวแถวไปทางบันไดที่จะลง"
146,11:50,11:55,5,PLAN,น้องบ้านไอคัท และไอเพื่อนเดินไปกินข้าว,"ตึก 3 → ลานเกียร์ → icanteen
ตึก 3 → ลานเกียร์ → ที่ราบสูง",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","-ฝ่ายแผนไลน์น้องบ้านไอคัท 
ชั้น 2→บันไดกลาง→บันไดเกียร์ขาว→ลานเกียร์→ประตูพาราโบลา→icanteenชั้น 1 →โต๊ะ1

-ฝ่ายแผนไลน์น้องบ้านไอเพื่อน 
ชั้น 3 →บันไดซีรอกซ์→บันไดเกียร์ขาว→ที่ราบสูงลานเกียร์→โต๊ะ 6
"
147,11:51,11:56,5,PLAN,น้องบ้านไอค๊อกแค๊ก และบ้านไอแดงเดินไปกินข้าว,"ตึก 3 → ลานเกียร์ → icanteen
ตึก 3 → ลานเกียร์ → ที่ราบสูง",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","-ฝ่ายแผนไลน์น้องบ้านไอค๊อกแค๊ก
ชั้น 2→บันไดกลาง→บันไดเกียร์ขาว→ลานเกียร์→ประตูพาราโบลา→icanteenชั้น 1 →โต๊ะ2

-ฝ่ายแผนไลน์น้องบ้านไอแดง 
ชั้น 3 →บันไดซีรอกซ์→บันไดเกียร์ขาว→ที่ราบสูงลานเกียร์→โต๊ะ 7
"
148,11:52,11:57,5,PLAN,น้องบ้านไอรอเธอ และบ้านไอน์สไตน์เดินไปกินข้าว,"ตึก 3 → ลานเกียร์ → icanteen
ตึก 3 → ลานเกียร์ → ที่ราบสูง",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","-ฝ่ายแผนไลน์น้องบ้านไอรอเธอ
ชั้น 2→บันไดกลาง→บันไดเกียร์ขาว→ลานเกียร์→ประตูพาราโบลา→icanteenชั้น 1 →โต๊ะ3

-ฝ่ายแผนไลน์น้องบ้านไอน์สไตน์
ชั้น 3 →บันไดซีรอกซ์→บันไดเกียร์ขาว→ที่ราบสูงลานเกียร์→โต๊ะ 8
"
149,11:53,11:58,5,PLAN,น้องไอแฟนยู และบ้านไอจามเดินไปกินข้าว,ตึก 3 → ลานเกียร์ → icanteen,นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","-ฝ่ายแผนไลน์น้องบ้านไอแฟนยู
ชั้น 3→ บันไดกิจ→ลานเกียร์→ประตูพาราโบลา→ icanteenชั้น 2 → โต๊ะ 4 

-ฝ่ายแผนไลน์น้องบ้านไอจาม 
ชั้น 3 → บันไดกิจ→ลานเกียร์→ประตูพาราโบลา→ icanteenชั้น 2 → โต๊ะ 5     
"
150,11:55,12:00,5,PLAN,จัดน้องบ้านไอคัทและ บ้านไอเพื่อน นั่งตามโต๊ะ,"icanteen, ที่ราบสูงลานเกียร์",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- พี่บ้านไอคัทท้ายแถวแบ่งน้องเข้าโต๊ะ โต๊ะละ 4 คน แยกเพศ 
- พี่บ้านไอเพื่อนท้ายแถวแบ่งน้องเข้าโต๊ะ โต๊ะละ 4 คน แยกเพศ 
- พี่บ้านฝ่ายแผน(หัวแถว)เป็นคนพาน้องเข้าโต๊ะแบบสลับฟันปลา
- เมื่อบ้านไหนถึงโต๊ะบ้านให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนในฟอร์ม “บ้านไอคัท ถึงโต๊ะบ้านแล้ว”"
151,11:56,12:00,4,PLAN,จัดน้องบ้านไอค๊อกแค๊ก และบ้านไอแดง นั่งตามโต๊ะ,"icanteen, ที่ราบสูงลานเกียร์",นอร์ท 0951461000,"บ้านไอคัท - นีโอ 0863645532   
บ้านไอค๊อกแค๊ก -  ปุ๋ย  0968635225
บ้านไอรอเธอ - ฟ้า 0819081530
บ้าน ไอแฟนยู - ออน  0912419412
บ้านไอจาม -  เชอร์รี่  0852589212
บ้านไอเพื่อน - เอิน  0993438222
บ้านไอแดง - คนิ้ง 0858101505
บ้านไอน์สไตน์ -  ถิงถิง 0958209163
พี่บ้านบ้านละ 3 คน","- พี่บ้านบ้านไอค๊อกแค๊กท้ายแถวแบ่งน้องเข้าโต๊ะ โต๊ะละ 4 คน แยกเพศ 
- พี่บ้านไอแดงท้ายแถวแบ่งน้องเข้าโต๊ะ โต๊ะละ 4 คน แยกเพศ 
- พี่บ้านฝ่ายแผน(หัวแถว)เป็นคนพาน้องเข้าโต๊ะแบบสลับฟันปลา
- เมื่อบ้านไหนถึงโต๊ะบ้านให้แจ้งใน lineแผนแจ้งข่าว ฝ่ายแผนในฟอร์ม “บ้านไอค๊อกแค๊ก ถึงโต๊ะบ้านแล้ว”"
